,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,0,0,0,0.0,0.0,0.0
1/28/2020,0,0,0,0.0,0.0,0.0
1/29/2020,0,0,0,0.0,0.0,0.0
1/30/2020,1,0,0,1.0,0.0,0.0
1/31/2020,1,0,0,0.0,0.0,0.0
2/1/2020,1,0,0,0.0,0.0,0.0
2/2/2020,2,0,0,1.0,0.0,0.0
2/3/2020,3,0,0,1.0,0.0,0.0
2/4/2020,3,0,0,0.0,0.0,0.0
2/5/2020,3,0,0,0.0,0.0,0.0
2/6/2020,3,0,0,0.0,0.0,0.0
2/7/2020,3,0,0,0.0,0.0,0.0
2/8/2020,3,0,0,0.0,0.0,0.0
2/9/2020,3,0,0,0.0,0.0,0.0
2/10/2020,3,0,0,0.0,0.0,0.0
2/11/2020,3,0,0,0.0,0.0,0.0
2/12/2020,3,0,0,0.0,0.0,0.0
2/13/2020,3,0,0,0.0,0.0,0.0
2/14/2020,3,0,0,0.0,0.0,0.0
2/15/2020,3,0,0,0.0,0.0,0.0
2/16/2020,3,0,3,0.0,0.0,3.0
2/17/2020,3,0,3,0.0,0.0,0.0
2/18/2020,3,0,3,0.0,0.0,0.0
2/19/2020,3,0,3,0.0,0.0,0.0
2/20/2020,3,0,3,0.0,0.0,0.0
2/21/2020,3,0,3,0.0,0.0,0.0
2/22/2020,3,0,3,0.0,0.0,0.0
2/23/2020,3,0,3,0.0,0.0,0.0
2/24/2020,3,0,3,0.0,0.0,0.0
2/25/2020,3,0,3,0.0,0.0,0.0
2/26/2020,3,0,3,0.0,0.0,0.0
2/27/2020,3,0,3,0.0,0.0,0.0
2/28/2020,3,0,3,0.0,0.0,0.0
2/29/2020,3,0,3,0.0,0.0,0.0
3/1/2020,3,0,3,0.0,0.0,0.0
3/2/2020,5,0,3,2.0,0.0,0.0
3/3/2020,5,0,3,0.0,0.0,0.0
3/4/2020,28,0,3,23.0,0.0,0.0
3/5/2020,30,0,3,2.0,0.0,0.0
3/6/2020,31,0,3,1.0,0.0,0.0
3/7/2020,34,0,3,3.0,0.0,0.0
3/8/2020,39,0,3,5.0,0.0,0.0
3/9/2020,43,0,3,4.0,0.0,0.0
3/10/2020,56,0,4,13.0,0.0,1.0
3/11/2020,62,1,4,6.0,1.0,0.0
3/12/2020,73,1,4,11.0,0.0,0.0
3/13/2020,82,2,4,9.0,1.0,0.0
3/14/2020,102,2,4,20.0,0.0,0.0
3/15/2020,113,2,13,11.0,0.0,9.0
3/16/2020,119,2,13,6.0,0.0,0.0
3/17/2020,142,3,14,23.0,1.0,1.0
3/18/2020,156,3,14,14.0,0.0,0.0
3/19/2020,194,4,15,38.0,1.0,1.0
3/20/2020,244,5,20,50.0,1.0,5.0
3/21/2020,330,4,23,86.0,-1.0,3.0
3/22/2020,396,7,27,66.0,3.0,4.0
3/23/2020,499,10,34,103.0,3.0,7.0
3/24/2020,536,10,40,37.0,0.0,6.0
3/25/2020,657,12,43,121.0,2.0,3.0
3/26/2020,727,20,45,70.0,8.0,2.0
3/27/2020,887,20,73,160.0,0.0,28.0
3/28/2020,987,24,84,100.0,4.0,11.0
3/29/2020,1024,27,95,37.0,3.0,11.0
3/30/2020,1251,32,102,227.0,5.0,7.0
3/31/2020,1397,35,123,146.0,3.0,21.0
4/1/2020,1998,58,148,601.0,23.0,25.0
4/2/2020,2543,72,191,545.0,14.0,43.0
4/3/2020,2567,72,192,24.0,0.0,1.0
4/4/2020,3082,86,229,515.0,14.0,37.0
4/5/2020,3588,99,229,506.0,13.0,0.0
4/6/2020,4778,136,375,1190.0,37.0,146.0
