,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,1,0,0,1.0,0.0,0.0
1/28/2020,4,0,0,3.0,0.0,0.0
1/29/2020,4,0,0,0.0,0.0,0.0
1/30/2020,4,0,0,0.0,0.0,0.0
1/31/2020,5,0,0,1.0,0.0,0.0
2/1/2020,8,0,0,3.0,0.0,0.0
2/2/2020,10,0,0,2.0,0.0,0.0
2/3/2020,12,0,0,2.0,0.0,0.0
2/4/2020,12,0,0,0.0,0.0,0.0
2/5/2020,12,0,0,0.0,0.0,0.0
2/6/2020,12,0,0,0.0,0.0,0.0
2/7/2020,13,0,0,1.0,0.0,0.0
2/8/2020,13,0,0,0.0,0.0,0.0
2/9/2020,14,0,0,1.0,0.0,0.0
2/10/2020,14,0,0,0.0,0.0,0.0
2/11/2020,16,0,0,2.0,0.0,0.0
2/12/2020,16,0,0,0.0,0.0,0.0
2/13/2020,16,0,1,0.0,0.0,1.0
2/14/2020,16,0,1,0.0,0.0,0.0
2/15/2020,16,0,1,0.0,0.0,0.0
2/16/2020,16,0,1,0.0,0.0,0.0
2/17/2020,16,0,1,0.0,0.0,0.0
2/18/2020,16,0,12,0.0,0.0,11.0
2/19/2020,16,0,12,0.0,0.0,0.0
2/20/2020,16,0,12,0.0,0.0,0.0
2/21/2020,16,0,14,0.0,0.0,2.0
2/22/2020,16,0,14,0.0,0.0,0.0
2/23/2020,16,0,14,0.0,0.0,0.0
2/24/2020,16,0,14,0.0,0.0,0.0
2/25/2020,17,0,14,1.0,0.0,0.0
2/26/2020,27,0,15,10.0,0.0,1.0
2/27/2020,46,0,16,19.0,0.0,1.0
2/28/2020,48,0,16,2.0,0.0,0.0
2/29/2020,79,0,16,31.0,0.0,0.0
3/1/2020,130,0,16,51.0,0.0,0.0
3/2/2020,159,0,16,29.0,0.0,0.0
3/3/2020,196,0,16,37.0,0.0,0.0
3/4/2020,262,0,16,66.0,0.0,0.0
3/5/2020,482,0,16,220.0,0.0,0.0
3/6/2020,670,0,17,188.0,0.0,1.0
3/7/2020,799,0,18,129.0,0.0,1.0
3/8/2020,1040,0,18,241.0,0.0,0.0
3/9/2020,1176,2,18,136.0,2.0,0.0
3/10/2020,1457,2,18,281.0,0.0,0.0
3/11/2020,1908,3,25,451.0,1.0,7.0
3/12/2020,2078,3,25,170.0,0.0,0.0
3/13/2020,3675,7,46,1597.0,4.0,21.0
3/14/2020,4585,9,46,910.0,2.0,0.0
3/15/2020,5795,11,46,1210.0,2.0,0.0
3/16/2020,7272,17,67,1477.0,6.0,21.0
3/17/2020,9257,24,67,1985.0,7.0,0.0
3/18/2020,12327,28,105,3070.0,4.0,38.0
3/19/2020,15320,44,113,2993.0,16.0,8.0
3/20/2020,19848,67,180,4528.0,23.0,67.0
3/21/2020,22213,84,233,2365.0,17.0,53.0
3/22/2020,24873,94,266,2660.0,10.0,33.0
3/23/2020,29056,123,453,4183.0,29.0,187.0
3/24/2020,32986,157,3243,3930.0,34.0,2790.0
3/25/2020,37323,206,3547,4337.0,49.0,304.0
3/26/2020,43938,267,5673,6615.0,61.0,2126.0
3/27/2020,50871,342,6658,6933.0,75.0,985.0
3/28/2020,57695,433,8481,6824.0,91.0,1823.0
3/29/2020,62095,533,9211,4400.0,100.0,730.0
3/30/2020,66885,645,13500,4790.0,112.0,4289.0
